X,Y,FID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY,Unnamed: 0
63,80,2464,23480,20620,STAVANGER,NO,58.966667,5.75,58.0,58.0,N,5.0,45.0,E,182.0,43342,M,CB,E,Y,N,N,N,Y,A,A,L,K,1.0,L,Y, ,Y,N,Y,Y,Y,0.0,Y,N,Y, ,0.0,Y,Y, ,Y,Y,Y,Y,Y,Y,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,B,L,,
90,78,2480,23670,20620,PORSGRUNN,NO,59.15,9.666667,59.0,9.0,N,9.0,40.0,E,193.0,43360,S,RN,E, ,Y,N,Y,Y,L,E,J,L,1.0,L, , ,Y,N,Y,Y, ,0.0,Y, ,Y, ,0.0, ,Y, , , ,Y,Y,Y,Y,0.0,0.0,0.0,Y, ,0.0,N,Y,Y, ,0.0, ,0.0,0.0,Y,Y,0.0,0.0,0.0, ,Y, , ,Y,Y,A,S,S,
96,84,2532,23750,20620,HORTEN,NO,59.416667,10.5,59.0,25.0,N,10.0,30.0,E,193.0,43386,M,CN,G,N,Y,N,Y,Y,K,K,M, ,1.0,M,Y, ,Y,N,Y,Y,Y,0.0, , ,Y, ,0.0,Y,Y,Y,Y, ,Y,Y,Y,Y,0.0,0.0,0.0,Y,Y,0.0, , ,Y,Y,0.0,Y,0.0,0.0,Y, ,0.0,0.0,0.0, ,Y,Y, ,Y,Y,A,M,M,
95,88,2535,23780,20620,DRAMMEN,NO,59.733333,10.25,59.0,44.0,N,10.0,15.0,E,193.0,43378,M,CB,G,N,N,Y,Y,Y,K,B,M,L,0.0,L,Y, ,Y,N,Y,N,Y,0.0,Y, ,Y,Y,0.0, ,Y, ,Y,Y,Y,Y,Y,Y,0.0,0.0,0.0,Y,Y,0.0,Y, ,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y, , ,B, ,L,
98,90,2537,23810,20620,OSLO,NO,59.916667,10.75,59.0,55.0,N,10.0,45.0,E,193.0,43372,L,CN,G,N,N,N,Y, ,J,E,N,N,1.0,L,Y,Y,Y,Y,Y,Y,Y,0.0,Y, ,Y, ,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A, ,L,
58,99,2754,23138,20620,MONGSTAD,NO,60.816667,5.033333,60.0,49.0,N,5.0,2.0,E,182.0, ,M,OR,G,N,N,N,Y,N,A,A,M,L,7.0,M,N,N,Y,N,Y,Y,Y,0.0,Y,N,Y,Y,0.0, ,Y,N,Y,Y,Y, ,Y,N,0.0,0.0,0.0, ,Y,0.0,Y, ,Y, ,0.0, ,0.0,0.0, , ,0.0,0.0,0.0,Y,Y,Y,Y, , ,C,M,,
60,94,2756,23160,20620,BERGEN,NO,60.4,5.316667,60.0,24.0,N,5.0,19.0,E,182.0,43322/1,M,CN,E,N,N,N,Y,Y,A,L,J,M,1.0,L,Y,Y,Y,N,Y,Y,Y,0.0,Y, ,Y,Y,0.0, ,Y,Y,Y,Y,Y,Y,Y,Y,0.0,0.0,0.0,Y,N,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,M,S,
39,0,3001,35750,35720,CALAIS,FR,50.966667,1.85,50.0,58.0,N,1.0,51.0,E,191.0, ,S,CB,G,Y,N,N,Y,Y,L,D,J, ,6.0,M,Y, ,Y,N,Y,Y,Y,0.0,Y, ,Y,Y,0.0,Y,Y,Y,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y, ,0.0, ,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,S,S,
98,69,3410,24020,23860,GOTEBORG,SE,57.7,11.966667,57.0,42.0,N,11.0,58.0,E,193.0,44042,L,RT,G,N,N, ,Y,Y,L,A,N,L,0.0,L,Y, ,Y,N,Y,Y,Y,0.0,Y, ,Y,Y,0.0,Y,Y,Y,Y, ,Y,Y,Y,Y,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,M,L,
54,5,3631,31842,30980,MOERDIJK,NL,51.6896,4.59157,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,3917,31973,30980,NORTH SEA PORT,NL,51.411607,3.728937,,,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,23,1111,11111,30980,GRONINGEN SEAPORTS,NL,53.36943,6.895343,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,15,3630,31430,31330,TILBURY,GB,51.466667,0.333333,51.0,28.0,N,0.0,20.0,E,192.0,37035,S,RT,G, , , , ,Y, ,M,K, ,3.0,M, , , , ,Y,Y,Y,0.0,Y, ,Y, ,0.0, ,Y, ,Y, , , , , ,0.0,0.0,0.0, ,Y,0.0,N,Y, , ,0.0, ,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y,Y, , ,C, ,S,3629.0
